"CODIGO";"CODIGO INTERNO";"TIPO";"SUB DESCRICAO";"FABRICANTE";"MARCA";"SEGMENTO";"OBS";"OBS COMPLEMENTAR";"NCM";"MINIMO";"MAXIMO";"PRECO ENTRADA";"PRECO CUSTO";"PRECO MEDIO";"PRECO VENDA";"PRECO PESQUISA";"MARKUP";"COEFICIENTE MARKUP";"QTD";"QTD MULTIPLA COMPRA";"QTD MULTIPLA VENDA";"QTD MULTIPLA APLICACAO";"ATACADO";"VAREJO";"SITUACAO";"ANTIGO";"COR";"LADO";"POSICAO";"LOCALIZACAO";"EXTREMIDADE";"USO";"IMAGEM";"GTIN";"GTIN-14";"MEDIDA";"PRAZO GARANTIA";"OBS GARANTIA";"GRUPO ITEM";"SUB GRUPO ITEM";"FORNECEDOR REFERENCIAL";"UN";"REFERENCIA";"CST/ICMS";"PRECO PROMOCAO";"SEGMENTO";"COD.IMPORTACAO XML";"BASE CALCULO ICMS RET";"% ICMS RET";"ICMS RET";"ICMS SUBSTITUTO";"PIS/COFINS";"CHAVE NFE";"RANKING CURVA ABC GERAL ITEM";"CURVA ABC GERAL ITEM";"VALOR CURVA ABC GERAL ITEM";"REGISTRO ABC GERAL ITEM";"CODIGO CURVA ABC FORNECEDOR";"VALOR CURVA ABC FORNECEDOR";"REGISTRO CURVA ABC FORNECEDOR";"UF CURVA ABC FORNECEDOR";
"46499";"";"VELA";"IGNICAO";"=""3T-8706""";"CATERPILLAR";"";"CATERPILLAR 3204 (CURTA)(C9510)(3T-8706)(4N-0360)(6N-1058)";"(CURTA)";"8482.1090";"1,00";"3,00";"0,00";"20,00";"20,00";"36,00";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""3T-8706""";"";"";"";"=""102-D-04""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46500";"";"VELA";"IGNICAO";"=""C9510""";"TARANTO";"";"CATERPILLAR 3204 (CURTA)(C9510)(3T-8706)(4N-0360)(6N-1058)";"(CURTA)";"8482.1090";"1,00";"3,00";"0,00";"28,78";"0,00";"51,80";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""C9510""";"";"";"";"=""""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46501";"";"VELA";"IGNICAO";"=""3T-9562""";"CATERPILLAR";"";"CATERPILLAR 3304 3306 3406 (LONGA)(C9517)(3T-9562)(1P-7324)(3S-9624)";"(LONGA)";"8511.8010";"1,00";"3,00";"0,00";"14,80";"19,25";"34,65";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""3T-9562""";"";"";"";"=""""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46502";"";"VELA";"IGNICAO";"=""C9517""";"TARANTO";"";"CATERPILLAR 3304 3306 3406 (LONGA)(C9517)(3T-9562)(1P-7324)(3S-9624)";"(LONGA)";"8511.8010";"1,00";"3,00";"0,00";"27,32";"0,00";"49,17";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""C9517""";"";"";"";"=""""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46503";"";"VELA";"IGNICAO";"=""PA.F000KE0P19""";"PARALELO";"";"FIAT 1.0 16V FIRE";"";"8511.1000";"1,00";"3,00";"0,00";"0,00";"0,00";"0,00";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""PA.F000KE0P19""";"";"";"";"=""105-F-03""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46504";"";"VELA";"IGNICAO";"=""C9176""";"TARANTO";"";"FIAT 2.3 16V F1A MULTJET 3.0 16V DUCATO F1C 10/... (C9176)(Y8005J)(5960A4)";"";"8511.8010";"1,00";"3,00";"0,00";"45,57";"36,37";"82,03";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""C9176""";"";"";"";"=""""";"";"";"F";"=""7793960763186""";"=""""";"STD";"";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46505";"";"VELA";"IGNICAO";"=""MI296""";"MANDO MACHINERY";"";"FIAT 2.5 DUCATO (MI296)";"";"8482.1090";"1,00";"3,00";"0,00";"6,80";"6,80";"12,24";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""MI296""";"";"";"";"=""213-C-04""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46506";"";"VELA";"IGNICAO";"=""C9420""";"TARANTO";"";"FIAT 2.8 8V 8140.63 DUCATO 98/05 (C9420)(59624Z)";"";"8511.8010";"1,00";"3,00";"0,00";"27,32";"23,08";"49,17";"0,00";"80%";"1,8000";"4";"0,00";"1,00";"0,00";"F";"F";"";"=""C9420""";"";"";"";"=""309-G-03""";"";"";"F";"=""7793960763278""";"=""""";"STD";"";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46507";"";"VELA";"IGNICAO";"=""C9119""";"TARANTO";"";"FIAT 2.8 8V SOFIN DUCATO MB 2.4 8V 616 180D PEU 2.4 2.5 8V XD2 504 BOXER ASP/TURBO (RE2093)";"(ASP/TURBO)";"8482.1090";"1,00";"3,00";"0,00";"24,69";"0,00";"44,43";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""C9119""";"";"";"";"=""""";"";"";"F";"=""7793960763131""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46508";"";"VELA";"IGNICAO";"=""RE2093""";"MANDO MACHINERY";"";"FIAT 2.8 8V SOFIN DUCATO MERCEDES 2.4 8V 616 180D PEUGEOT 2.4 2.5 8V XD2 504 BOXER ASP/TURBO (RE2093)";"(ASP/TURBO)";"8482.1090";"1,00";"3,00";"0,00";"4,01";"4,01";"7,22";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""RE2093""";"";"";"";"=""213-C-04""";"";"";"F";"=""""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
